timestamp,top20elec,top20heat,top50elec,top50heat,allelec,allheat,top20cop,top50cop,allcop,all_minus_top20_elec,all_minus_top20_heat,all_minus_top20_cop,all_minus_top50_elec,all_minus_top50_heat,all_minus_top50_cop,apparent_temperature (°C),predicted_consumption_Hybrid
2024-01-06 07:00:00+00:00,12513.0,56599.0,33041.0,130275.0,92521.0,322744.0,4.523215855510269,3.942828606882358,3.4883323785951297,80008.0,266145.0,3.3264798520147987,59480.0,192469.0,3.2358607935440484,0.2,760.0695507657766
2024-01-06 08:00:00+00:00,9997.0,41833.0,31011.0,125131.0,86559.0,305834.0,4.184555366609983,4.0350520782947985,3.5332432213865688,76562.0,264001.0,3.448198845380215,55548.0,180703.0,3.2530964211132716,0.3,755.59474089669
2024-01-06 09:00:00+00:00,9401.0,41701.0,31564.0,129337.0,88186.0,297289.0,4.435804701627487,4.097611202635914,3.3711586873199826,78785.0,255588.0,3.2441200736180744,56622.0,167952.0,2.966196884603158,-0.7,771.1571474553281
2024-01-06 10:00:00+00:00,11434.0,46434.0,32266.0,126938.0,93944.0,320712.0,4.061046003148505,3.9341102088886135,3.4138635783019673,82510.0,274278.0,3.324178887407587,61678.0,193774.0,3.141703686889977,-1.6,761.4331893748441
2024-01-06 11:00:00+00:00,7515.0,35839.0,25113.0,105911.0,69517.0,257346.0,4.768995342648037,4.217377453908334,3.701914639584562,62002.0,221507.0,3.5725783039256798,44404.0,151435.0,3.4103909557697505,-1.1,745.9024337834982
2024-01-06 12:00:00+00:00,5950.0,28521.0,21231.0,87548.0,58105.0,218919.0,4.793445378151261,4.123592859497904,3.767644780999914,52155.0,190398.0,3.6506183491515674,36874.0,131371.0,3.562700005423876,-1.0,742.5235805240989
2024-01-06 13:00:00+00:00,7138.0,36840.0,22697.0,96368.0,67855.0,255576.0,5.161109554497058,4.2458474688284795,3.766502100066318,60717.0,218736.0,3.6025495330796975,45158.0,159208.0,3.5255768634571947,-0.2,733.3125547704034
2024-01-06 14:00:00+00:00,7316.0,35219.0,24134.0,101390.0,63079.0,247356.0,4.813969382176053,4.201127040689483,3.9213684427463975,55763.0,212137.0,3.8042608898373476,38945.0,145966.0,3.748003594813198,0.7,720.9316251746424
2024-01-06 15:00:00+00:00,6878.0,33051.0,22980.0,100732.0,73687.0,283758.0,4.805321314335563,4.383463881636206,3.850855646179109,66809.0,250707.0,3.7525932134892006,50707.0,183026.0,3.609481925572406,1.2,718.4700032830216
2024-01-06 16:00:00+00:00,9701.0,46737.0,26745.0,117132.0,71169.0,271465.0,4.8177507473456345,4.379584969153113,3.8143714257612165,61468.0,224728.0,3.656016138478558,44424.0,154333.0,3.474090581667567,1.4,731.8074585131876
